GO_ID	name	namespace	observed	expected	fold_enrichment	p_value	total_study_annotations	background_size	p_fdr_bh	significant
GO:0019199	transmembrane receptor protein kinase activity	molecular_function	25	0.9210964607911173	27.141565584268815	0.0	39819	43230	0.0	True
GO:0004713	protein tyrosine kinase activity	molecular_function	25	0.9210964607911173	27.141565584268815	0.0	39819	43230	0.0	True
GO:0004714	transmembrane receptor protein tyrosine kinase activity	molecular_function	25	0.9210964607911173	27.141565584268815	0.0	39819	43230	0.0	True
GO:0009893	positive regulation of metabolic process	biological_process	18	0.9210964607911173	19.541927220673546	0.0	39819	43230	0.0	True
GO:0032182	ubiquitin-like protein binding	molecular_function	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0043130	ubiquitin binding	molecular_function	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0000151	ubiquitin ligase complex	cellular_component	9	0.9210964607911173	9.770963610336773	0.0	39819	43230	0.0	True
GO:0071797	LUBAC complex	cellular_component	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0072341	modified amino acid binding	molecular_function	22	0.9210964607911173	23.88457771415656	0.0	39819	43230	0.0	True
GO:0019842	vitamin binding	molecular_function	35	0.9210964607911173	37.99819181797634	0.0	39819	43230	0.0	True
GO:0033218	amide binding	molecular_function	22	0.9210964607911173	23.88457771415656	0.0	39819	43230	0.0	True
GO:0031177	phosphopantetheine binding	molecular_function	20	0.9210964607911173	21.713252467415053	0.0	39819	43230	0.0	True
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	molecular_function	61	0.9210964607911173	66.22542002561592	0.0	39819	43230	0.0	True
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	molecular_function	19	0.9210964607911173	20.6275898440443	0.0	39819	43230	0.0	True
GO:0016791	phosphatase activity	molecular_function	27	0.9210964607911173	29.31289083101032	0.0	39819	43230	0.0	True
GO:0042578	phosphoric ester hydrolase activity	molecular_function	37	0.9210964607911173	40.169517064717844	0.0	39819	43230	0.0	True
GO:0004035	alkaline phosphatase activity	molecular_function	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0006022	aminoglycan metabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:1901136	carbohydrate derivative catabolic process	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0070647	protein modification by small protein conjugation or removal	biological_process	23	0.9210964607911173	24.97024033752731	0.0	39819	43230	0.0	True
